Time,Day,Weather,Vehicle_Count,Speed,Traffic_Level
13:00,Saturday,Rainy,210,59,Medium
06:00,Sunday,Cloudy,284,51,High
13:00,Saturday,Cloudy,217,78,Medium
11:00,Sunday,Cloudy,300,40,High
17:00,Wednesday,Rainy,255,20,High
21:00,Wednesday,Sunny,164,67,Medium
13:00,Friday,Rainy,50,43,Low
21:00,Friday,Sunny,237,15,High
19:00,Thursday,Sunny,80,39,Medium
07:00,Saturday,Rainy,66,54,Low
17:00,Thursday,Rainy,23,35,Medium
16:00,Tuesday,Cloudy,168,36,Medium
06:00,Thursday,Cloudy,113,20,Medium
20:00,Thursday,Sunny,246,48,High
13:00,Saturday,Rainy,74,14,High
13:00,Sunday,Rainy,264,25,High
12:00,Friday,Cloudy,139,32,Medium
09:00,Monday,Cloudy,100,74,Low
12:00,Sunday,Cloudy,166,78,Medium
10:00,Saturday,Cloudy,218,44,Medium
08:00,Tuesday,Sunny,23,26,Medium
12:00,Wednesday,Cloudy,116,30,Medium
19:00,Saturday,Rainy,275,23,High
16:00,Monday,Rainy,63,11,High
15:00,Saturday,Cloudy,83,29,Medium
22:00,Sunday,Sunny,219,47,Medium
12:00,Monday,Cloudy,260,53,High
14:00,Friday,Sunny,78,32,Medium
10:00,Friday,Sunny,300,11,High
12:00,Friday,Rainy,145,21,Medium
07:00,Tuesday,Sunny,126,73,Medium
16:00,Monday,Rainy,105,71,Low
16:00,Friday,Rainy,295,53,High
15:00,Saturday,Sunny,64,36,Medium
14:00,Wednesday,Cloudy,42,38,Medium
22:00,Tuesday,Cloudy,294,68,High
11:00,Monday,Sunny,202,10,High
16:00,Saturday,Sunny,262,33,High
15:00,Thursday,Sunny,294,50,High
12:00,Thursday,Rainy,191,30,Medium
10:00,Friday,Cloudy,273,49,High
08:00,Saturday,Cloudy,113,15,High
19:00,Tuesday,Sunny,133,39,Medium
12:00,Monday,Sunny,96,43,Low
08:00,Wednesday,Sunny,22,14,High
09:00,Monday,Sunny,266,25,High
21:00,Thursday,Sunny,79,75,Low
21:00,Thursday,Sunny,277,51,High
22:00,Sunday,Rainy,145,56,Medium
14:00,Wednesday,Cloudy,214,42,Medium
17:00,Thursday,Cloudy,295,19,High
17:00,Thursday,Rainy,107,24,Medium
09:00,Tuesday,Cloudy,231,54,High
09:00,Wednesday,Sunny,144,37,Medium
08:00,Sunday,Rainy,226,30,High
13:00,Sunday,Sunny,63,50,Low
14:00,Thursday,Cloudy,241,29,High
08:00,Friday,Sunny,185,28,Medium
18:00,Wednesday,Sunny,139,14,High
10:00,Saturday,Sunny,28,71,Low
09:00,Sunday,Sunny,298,24,High
08:00,Wednesday,Sunny,209,72,Medium
22:00,Sunday,Rainy,191,14,High
22:00,Wednesday,Cloudy,296,75,High
21:00,Tuesday,Rainy,255,31,High
15:00,Thursday,Rainy,146,72,Medium
12:00,Saturday,Cloudy,153,70,Medium
21:00,Tuesday,Rainy,274,14,High
22:00,Sunday,Cloudy,147,35,Medium
19:00,Thursday,Sunny,176,61,Medium
13:00,Wednesday,Sunny,193,40,Medium
13:00,Thursday,Rainy,253,80,High
09:00,Thursday,Rainy,64,40,Low
08:00,Wednesday,Sunny,128,59,Medium
13:00,Wednesday,Sunny,96,47,Low
22:00,Monday,Rainy,53,11,High
08:00,Monday,Rainy,125,34,Medium
09:00,Sunday,Cloudy,222,16,High
13:00,Friday,Sunny,163,61,Medium
15:00,Wednesday,Sunny,91,13,High
13:00,Monday,Cloudy,149,37,Medium
17:00,Tuesday,Sunny,269,56,High
19:00,Wednesday,Rainy,58,57,Low
10:00,Tuesday,Sunny,296,44,High
16:00,Friday,Cloudy,57,64,Low
13:00,Wednesday,Cloudy,291,61,High
13:00,Friday,Rainy,179,42,Medium
15:00,Friday,Cloudy,52,37,Medium
21:00,Friday,Rainy,286,20,High
15:00,Thursday,Rainy,212,52,Medium
14:00,Saturday,Rainy,226,10,High
06:00,Friday,Rainy,32,53,Low
08:00,Friday,Rainy,74,23,Medium
17:00,Sunday,Cloudy,262,78,High
18:00,Monday,Sunny,63,39,Medium
07:00,Friday,Sunny,92,25,Medium
09:00,Sunday,Rainy,72,50,Low
07:00,Tuesday,Sunny,285,15,High
14:00,Monday,Sunny,250,66,High
16:00,Tuesday,Sunny,22,31,Medium
12:00,Monday,Sunny,215,39,Medium
11:00,Wednesday,Cloudy,257,25,High
17:00,Friday,Sunny,284,62,High
07:00,Friday,Cloudy,66,31,Medium
14:00,Tuesday,Sunny,198,30,Medium
15:00,Thursday,Cloudy,151,21,Medium
16:00,Tuesday,Rainy,277,75,High
19:00,Saturday,Rainy,151,68,Medium
19:00,Wednesday,Rainy,187,32,Medium
15:00,Tuesday,Rainy,57,20,Medium
14:00,Saturday,Rainy,293,43,High
08:00,Sunday,Cloudy,104,71,Low
17:00,Friday,Sunny,34,36,Medium
10:00,Wednesday,Rainy,31,44,Low
21:00,Saturday,Rainy,241,25,High
14:00,Monday,Cloudy,37,29,Medium
09:00,Monday,Sunny,249,73,High
06:00,Sunday,Rainy,258,29,High
09:00,Saturday,Sunny,276,32,High
17:00,Sunday,Cloudy,127,67,Medium
21:00,Friday,Sunny,155,49,Medium
09:00,Friday,Rainy,45,52,Low
11:00,Friday,Rainy,40,26,Medium
11:00,Sunday,Sunny,213,18,High
16:00,Wednesday,Cloudy,80,73,Low
07:00,Sunday,Cloudy,209,66,Medium
19:00,Friday,Rainy,277,35,High
07:00,Saturday,Rainy,145,14,High
06:00,Saturday,Sunny,240,32,High
17:00,Tuesday,Rainy,56,50,Low
19:00,Monday,Cloudy,187,23,Medium
10:00,Saturday,Sunny,38,37,Medium
09:00,Saturday,Rainy,215,32,Medium
07:00,Monday,Cloudy,196,48,Medium
21:00,Friday,Cloudy,267,29,High
07:00,Wednesday,Rainy,274,55,High
14:00,Thursday,Rainy,95,67,Low
18:00,Wednesday,Sunny,59,27,Medium
13:00,Saturday,Sunny,219,40,Medium
07:00,Friday,Rainy,256,49,High
20:00,Monday,Rainy,185,77,Medium
18:00,Wednesday,Cloudy,53,56,Low
09:00,Wednesday,Cloudy,49,16,High
10:00,Wednesday,Cloudy,39,31,Medium
21:00,Monday,Rainy,120,38,Medium
12:00,Sunday,Sunny,34,79,Low
19:00,Friday,Sunny,265,42,High
11:00,Monday,Cloudy,35,20,Medium
08:00,Friday,Sunny,213,78,Medium
09:00,Thursday,Rainy,59,61,Low
06:00,Sunday,Rainy,128,25,Medium
14:00,Friday,Rainy,65,24,Medium
12:00,Tuesday,Cloudy,34,57,Low
16:00,Thursday,Sunny,35,79,Low
19:00,Sunday,Rainy,30,55,Low
15:00,Friday,Cloudy,263,23,High
21:00,Monday,Cloudy,116,27,Medium
15:00,Wednesday,Cloudy,54,41,Low
19:00,Thursday,Cloudy,180,50,Medium
17:00,Tuesday,Rainy,67,55,Low
19:00,Saturday,Sunny,286,10,High
17:00,Friday,Cloudy,195,67,Medium
17:00,Sunday,Sunny,45,73,Low
10:00,Wednesday,Rainy,92,33,Medium
08:00,Wednesday,Sunny,261,25,High
10:00,Wednesday,Sunny,125,79,Medium
09:00,Friday,Cloudy,22,42,Low
18:00,Saturday,Cloudy,168,72,Medium
12:00,Monday,Rainy,123,29,Medium
14:00,Sunday,Sunny,282,44,High
11:00,Friday,Cloudy,238,41,High
13:00,Friday,Cloudy,78,37,Medium
20:00,Tuesday,Sunny,132,55,Medium
15:00,Friday,Cloudy,279,29,High
07:00,Monday,Sunny,109,53,Low
07:00,Friday,Sunny,210,61,Medium
21:00,Friday,Rainy,129,28,Medium
22:00,Friday,Sunny,128,76,Medium
15:00,Thursday,Sunny,267,78,High
14:00,Monday,Sunny,190,31,Medium
12:00,Sunday,Rainy,33,52,Low
21:00,Wednesday,Rainy,95,79,Low
06:00,Sunday,Sunny,157,18,High
17:00,Friday,Sunny,30,31,Medium
07:00,Monday,Cloudy,205,78,Medium
21:00,Friday,Rainy,25,41,Low
16:00,Thursday,Sunny,226,35,High
10:00,Tuesday,Cloudy,176,47,Medium
06:00,Wednesday,Rainy,266,69,High
19:00,Sunday,Sunny,61,10,High
11:00,Thursday,Rainy,50,39,Medium
06:00,Wednesday,Sunny,114,18,High
09:00,Wednesday,Cloudy,54,19,High
15:00,Saturday,Sunny,40,70,Low
12:00,Thursday,Rainy,126,68,Medium
19:00,Tuesday,Cloudy,176,76,Medium
08:00,Tuesday,Rainy,278,41,High
08:00,Tuesday,Cloudy,148,41,Medium
10:00,Sunday,Cloudy,93,74,Low
11:00,Tuesday,Cloudy,300,63,High
11:00,Thursday,Sunny,158,60,Medium
06:00,Wednesday,Rainy,240,51,High
15:00,Monday,Rainy,73,35,Medium
15:00,Wednesday,Cloudy,65,43,Low
20:00,Tuesday,Sunny,25,17,High
19:00,Monday,Rainy,71,62,Low
15:00,Tuesday,Sunny,46,76,Low
13:00,Monday,Rainy,71,24,Medium
10:00,Thursday,Sunny,81,52,Low
18:00,Tuesday,Cloudy,55,75,Low
17:00,Monday,Sunny,193,12,High
22:00,Monday,Cloudy,148,76,Medium
18:00,Friday,Sunny,169,18,High
19:00,Thursday,Cloudy,41,74,Low
09:00,Thursday,Sunny,101,80,Low
16:00,Friday,Rainy,229,54,High
11:00,Thursday,Sunny,244,76,High
15:00,Tuesday,Sunny,79,53,Low
09:00,Monday,Cloudy,82,79,Low
10:00,Friday,Sunny,167,67,Medium
10:00,Monday,Sunny,298,29,High
09:00,Sunday,Cloudy,222,65,High
07:00,Tuesday,Rainy,94,49,Low
13:00,Thursday,Cloudy,209,40,Medium
08:00,Wednesday,Rainy,270,47,High
06:00,Wednesday,Rainy,75,62,Low
20:00,Sunday,Sunny,182,22,Medium
14:00,Thursday,Rainy,165,59,Medium
20:00,Thursday,Cloudy,245,80,High
19:00,Thursday,Sunny,151,77,Medium
06:00,Wednesday,Cloudy,164,72,Medium
11:00,Friday,Sunny,203,35,Medium
14:00,Thursday,Sunny,193,15,High
21:00,Wednesday,Sunny,115,26,Medium
18:00,Tuesday,Sunny,42,19,High
08:00,Tuesday,Rainy,62,50,Low
14:00,Tuesday,Sunny,236,53,High
10:00,Wednesday,Cloudy,104,77,Low
17:00,Wednesday,Sunny,127,48,Medium
12:00,Saturday,Sunny,181,25,Medium
09:00,Friday,Cloudy,106,37,Medium
08:00,Monday,Sunny,206,25,Medium
16:00,Monday,Sunny,113,13,High
15:00,Monday,Cloudy,174,32,Medium
21:00,Thursday,Rainy,96,70,Low
15:00,Tuesday,Sunny,189,47,Medium
06:00,Friday,Sunny,225,25,High
22:00,Thursday,Cloudy,61,30,Medium
18:00,Friday,Rainy,256,29,High
06:00,Monday,Rainy,235,27,High
07:00,Saturday,Cloudy,140,31,Medium
22:00,Wednesday,Cloudy,89,54,Low
13:00,Friday,Cloudy,147,15,High
13:00,Wednesday,Rainy,59,52,Low
21:00,Sunday,Cloudy,189,11,High
19:00,Thursday,Cloudy,157,44,Medium
17:00,Wednesday,Cloudy,175,69,Medium
18:00,Sunday,Sunny,194,22,Medium
13:00,Tuesday,Rainy,239,24,High
06:00,Tuesday,Sunny,244,35,High
16:00,Monday,Cloudy,64,75,Low
18:00,Tuesday,Rainy,274,61,High
17:00,Friday,Rainy,103,22,Medium
16:00,Wednesday,Sunny,71,57,Low
19:00,Monday,Rainy,259,80,High
22:00,Friday,Cloudy,217,73,Medium
21:00,Monday,Sunny,194,66,Medium
22:00,Saturday,Rainy,222,78,High
21:00,Tuesday,Cloudy,69,16,High
22:00,Tuesday,Rainy,123,32,Medium
16:00,Tuesday,Sunny,270,42,High
10:00,Sunday,Rainy,101,76,Low
13:00,Thursday,Cloudy,30,54,Low
14:00,Friday,Cloudy,78,75,Low
12:00,Tuesday,Sunny,250,66,High
16:00,Tuesday,Cloudy,117,10,High
07:00,Saturday,Sunny,199,47,Medium
17:00,Wednesday,Rainy,210,44,Medium
07:00,Sunday,Sunny,290,43,High
21:00,Friday,Rainy,238,36,High
21:00,Wednesday,Rainy,287,75,High
21:00,Thursday,Rainy,210,20,Medium
16:00,Tuesday,Sunny,155,52,Medium
16:00,Saturday,Cloudy,108,11,High
14:00,Sunday,Cloudy,68,38,Medium
21:00,Tuesday,Cloudy,21,69,Low
21:00,Sunday,Cloudy,256,14,High
13:00,Monday,Sunny,85,23,Medium
21:00,Wednesday,Cloudy,192,63,Medium
16:00,Saturday,Sunny,24,72,Low
13:00,Sunday,Sunny,116,28,Medium
15:00,Monday,Cloudy,247,65,High
22:00,Sunday,Cloudy,162,11,High
12:00,Sunday,Rainy,63,17,High
09:00,Thursday,Sunny,54,31,Medium
14:00,Thursday,Cloudy,136,65,Medium
08:00,Saturday,Rainy,195,74,Medium
16:00,Thursday,Sunny,109,29,Medium
14:00,Saturday,Rainy,172,25,Medium
21:00,Thursday,Cloudy,246,68,High
19:00,Thursday,Sunny,73,16,High
08:00,Sunday,Sunny,172,41,Medium
22:00,Friday,Sunny,266,31,High
08:00,Sunday,Sunny,21,53,Low
07:00,Wednesday,Sunny,176,63,Medium
11:00,Thursday,Rainy,24,50,Low
17:00,Thursday,Cloudy,199,36,Medium
22:00,Tuesday,Rainy,283,31,High
16:00,Sunday,Rainy,137,39,Medium
16:00,Sunday,Cloudy,79,33,Medium
07:00,Wednesday,Cloudy,42,10,High
09:00,Tuesday,Cloudy,33,47,Low
18:00,Monday,Sunny,88,33,Medium
08:00,Thursday,Cloudy,103,19,High
12:00,Sunday,Rainy,39,65,Low
12:00,Friday,Rainy,118,40,Low
06:00,Tuesday,Sunny,284,47,High
18:00,Monday,Cloudy,169,59,Medium
12:00,Wednesday,Rainy,41,80,Low
10:00,Sunday,Rainy,214,41,Medium
18:00,Sunday,Rainy,43,46,Low
15:00,Monday,Cloudy,123,55,Medium
12:00,Wednesday,Sunny,146,75,Medium
13:00,Tuesday,Cloudy,115,32,Medium
13:00,Sunday,Rainy,247,51,High
14:00,Tuesday,Sunny,86,27,Medium
16:00,Friday,Cloudy,190,19,High
08:00,Wednesday,Cloudy,27,60,Low
09:00,Wednesday,Cloudy,192,27,Medium
11:00,Thursday,Cloudy,51,50,Low
10:00,Saturday,Cloudy,197,47,Medium
22:00,Saturday,Rainy,93,10,High
08:00,Thursday,Sunny,188,27,Medium
20:00,Friday,Rainy,130,50,Medium
14:00,Wednesday,Rainy,92,13,High
06:00,Saturday,Rainy,241,14,High
13:00,Wednesday,Sunny,173,36,Medium
17:00,Friday,Cloudy,98,27,Medium
16:00,Friday,Sunny,163,31,Medium
21:00,Monday,Rainy,233,59,High
18:00,Saturday,Sunny,97,13,High
16:00,Tuesday,Rainy,218,76,Medium
17:00,Tuesday,Cloudy,183,39,Medium
07:00,Saturday,Cloudy,35,33,Medium
09:00,Saturday,Rainy,48,70,Low
10:00,Sunday,Cloudy,163,40,Medium
22:00,Sunday,Sunny,57,50,Low
12:00,Tuesday,Rainy,154,42,Medium
11:00,Monday,Sunny,195,64,Medium
21:00,Thursday,Cloudy,110,46,Low
15:00,Tuesday,Rainy,137,64,Medium
17:00,Wednesday,Cloudy,108,21,Medium
08:00,Friday,Cloudy,220,54,Medium
22:00,Wednesday,Rainy,131,38,Medium
12:00,Thursday,Rainy,64,14,High
14:00,Monday,Sunny,124,49,Medium
10:00,Sunday,Sunny,54,77,Low
16:00,Sunday,Rainy,263,38,High
06:00,Saturday,Rainy,41,19,High
08:00,Monday,Rainy,138,39,Medium
16:00,Sunday,Sunny,229,38,High
08:00,Thursday,Sunny,79,39,Medium
20:00,Wednesday,Rainy,239,27,High
19:00,Sunday,Sunny,70,19,High
11:00,Tuesday,Sunny,217,33,Medium
16:00,Sunday,Rainy,162,53,Medium
08:00,Friday,Rainy,234,60,High
12:00,Sunday,Sunny,268,35,High
21:00,Saturday,Rainy,47,10,High
11:00,Thursday,Sunny,87,41,Low
08:00,Saturday,Rainy,182,27,Medium
20:00,Monday,Rainy,107,60,Low
06:00,Friday,Sunny,157,50,Medium
17:00,Sunday,Sunny,97,14,High
19:00,Sunday,Cloudy,60,39,Medium
14:00,Saturday,Rainy,205,57,Medium
12:00,Wednesday,Sunny,245,57,High
10:00,Wednesday,Rainy,158,66,Medium
12:00,Friday,Cloudy,64,19,High
17:00,Sunday,Sunny,129,37,Medium
12:00,Wednesday,Rainy,78,28,Medium
16:00,Saturday,Rainy,237,66,High
13:00,Friday,Cloudy,90,59,Low
10:00,Wednesday,Sunny,49,39,Medium
17:00,Sunday,Sunny,264,30,High
21:00,Friday,Rainy,124,76,Medium
22:00,Sunday,Sunny,143,42,Medium
19:00,Sunday,Cloudy,160,70,Medium
16:00,Friday,Sunny,277,73,High
11:00,Wednesday,Cloudy,126,79,Medium
09:00,Thursday,Cloudy,38,32,Medium
19:00,Thursday,Cloudy,285,25,High
18:00,Tuesday,Cloudy,172,57,Medium
18:00,Sunday,Cloudy,189,42,Medium
20:00,Saturday,Sunny,275,64,High
07:00,Sunday,Cloudy,270,69,High
19:00,Thursday,Sunny,275,77,High
14:00,Saturday,Sunny,232,30,High
12:00,Sunday,Sunny,42,39,Medium
11:00,Tuesday,Rainy,212,76,Medium
22:00,Friday,Sunny,82,10,High
15:00,Wednesday,Cloudy,106,55,Low
11:00,Wednesday,Sunny,167,79,Medium
21:00,Monday,Rainy,37,77,Low
14:00,Sunday,Rainy,74,53,Low
21:00,Thursday,Cloudy,261,12,High
13:00,Tuesday,Cloudy,54,55,Low
08:00,Friday,Cloudy,83,62,Low
17:00,Thursday,Cloudy,185,20,Medium
10:00,Friday,Rainy,246,69,High
07:00,Saturday,Cloudy,115,11,High
18:00,Monday,Cloudy,199,27,Medium
17:00,Friday,Sunny,270,18,High
08:00,Sunday,Cloudy,72,15,High
21:00,Monday,Rainy,169,66,Medium
21:00,Sunday,Cloudy,232,26,High
19:00,Saturday,Sunny,264,20,High
20:00,Friday,Sunny,189,77,Medium
09:00,Tuesday,Cloudy,124,77,Medium
21:00,Monday,Sunny,69,32,Medium
22:00,Tuesday,Sunny,167,28,Medium
19:00,Thursday,Rainy,177,80,Medium
09:00,Saturday,Cloudy,43,22,Medium
15:00,Wednesday,Sunny,290,16,High
20:00,Wednesday,Rainy,27,21,Medium
09:00,Saturday,Cloudy,40,79,Low
12:00,Tuesday,Rainy,256,55,High
16:00,Friday,Cloudy,92,25,Medium
20:00,Wednesday,Sunny,182,67,Medium
07:00,Friday,Rainy,187,42,Medium
13:00,Sunday,Cloudy,222,14,High
11:00,Thursday,Rainy,62,68,Low
14:00,Tuesday,Sunny,285,69,High
07:00,Sunday,Cloudy,286,67,High
14:00,Tuesday,Sunny,44,64,Low
13:00,Thursday,Rainy,216,52,Medium
06:00,Friday,Rainy,119,33,Medium
10:00,Tuesday,Sunny,276,68,High
15:00,Tuesday,Sunny,189,22,Medium
12:00,Sunday,Sunny,151,21,Medium
17:00,Monday,Sunny,126,27,Medium
17:00,Monday,Cloudy,235,26,High
13:00,Saturday,Rainy,140,78,Medium
13:00,Friday,Cloudy,66,77,Low
16:00,Friday,Sunny,132,76,Medium
22:00,Friday,Rainy,230,78,High
08:00,Saturday,Rainy,40,52,Low
17:00,Saturday,Rainy,56,18,High
12:00,Wednesday,Rainy,192,24,Medium
12:00,Thursday,Cloudy,165,45,Medium
09:00,Monday,Sunny,232,36,High
19:00,Saturday,Sunny,294,51,High
13:00,Tuesday,Sunny,153,10,High
10:00,Friday,Cloudy,145,23,Medium
21:00,Thursday,Cloudy,50,24,Medium
18:00,Thursday,Cloudy,93,13,High
16:00,Saturday,Cloudy,172,28,Medium
09:00,Wednesday,Rainy,145,71,Medium
08:00,Sunday,Sunny,39,62,Low
12:00,Sunday,Sunny,84,52,Low
14:00,Tuesday,Cloudy,248,24,High
20:00,Tuesday,Sunny,133,16,High
07:00,Sunday,Rainy,89,19,High
18:00,Friday,Rainy,149,69,Medium
13:00,Tuesday,Sunny,279,40,High
22:00,Monday,Rainy,268,46,High
20:00,Friday,Rainy,30,24,Medium
18:00,Sunday,Sunny,52,50,Low
18:00,Monday,Rainy,102,40,Low
19:00,Thursday,Rainy,125,72,Medium
15:00,Wednesday,Cloudy,141,13,High
14:00,Sunday,Cloudy,113,22,Medium
13:00,Thursday,Rainy,159,34,Medium
13:00,Saturday,Sunny,261,14,High
18:00,Saturday,Cloudy,263,20,High
15:00,Friday,Rainy,79,76,Low
21:00,Friday,Sunny,144,60,Medium
14:00,Tuesday,Sunny,31,31,Medium
21:00,Saturday,Rainy,25,52,Low
11:00,Thursday,Sunny,134,10,High
10:00,Friday,Cloudy,296,50,High
17:00,Tuesday,Sunny,157,70,Medium
22:00,Thursday,Rainy,233,67,High
11:00,Wednesday,Rainy,56,70,Low
09:00,Thursday,Sunny,24,76,Low
